Date,Open Interest,Producer/Merchant/ Processor/User Long,Producer/Merchant/ Processor/User Short,Swap Dealers Long,Swap Dealers short,Swap Dealers Spreading,Managed Money Long,Managed Money Short,Managed Money Spreading,Other Reportables Long,Other Reportables Short,Other Reportables Spreading,Nonreportable Positions Long,Nonreportable PositionsShort
4/20/2021,260719,149735,159591,34659,25656,10624,12652,15763,11892,3356,537,33844,3957,2812
4/13/2021,252199,143696,162478,31383,25290,9961,18436,10902,10048,4002,420,30619,4054,2481
4/6/2021,243388,129030,162985,24140,24942,10869,33800,3103,11961,2378,527,26794,4416,2207
3/30/2021,247954,130382,167326,22742,21242,10754,34676,3250,14676,2259,383,27839,4626,2484
3/23/2021,258000,139255,178597,21802,21289,10034,35204,886,17396,2446,500,26654,5209,2644
3/16/2021,260069,137294,182466,20650,17887,12036,36778,583,18227,3171,514,26078,5835,2278
3/9/2021,254401,135156,179754,19794,17789,11215,36182,819,17062,3945,389,24973,6074,2400
3/2/2021,249897,138213,177115,18801,17970,9843,30548,1240,15443,4165,300,25746,7138,2240
2/23/2021,275576,164240,193864,24447,17617,11913,21861,3007,13416,2038,631,32310,5351,2818
2/16/2021,279522,169964,194621,22534,17511,12081,19388,2761,14359,1865,560,34666,4665,2963
2/9/2021,278629,172249,193555,16589,17693,11954,20416,1652,16256,2289,651,34270,4606,2598
